ZCTA,MODZCTA,ZCTA_str,zip_code,Value,Count,modzcta_count,mod_idx,tract,zip,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061004100,10012,NEW YORK,NY,0.245564229950319,0.111111111111111,0.207658321060382,0.211140918415654
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061004300,10012,NEW YORK,NY,1.0,1.0,1.0,1.0
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061004500,10012,NEW YORK,NY,0.297556719022687,0.178935447338618,0.208092485549132,0.240421052631578
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061004700,10012,NEW YORK,NY,0.375804967801287,0.210361067503924,0.266547406082289,0.326409495548961
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061004900,10012,NEW YORK,NY,0.974817221770917,0.952205882352941,0.962314939434724,0.968682114409847
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061005501,10012,NEW YORK,NY,0.979889042995839,0.963068181818181,0.93103448275862,0.977231329690346
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061005502,10012,NEW YORK,NY,0.928005284015852,0.961016949152542,0.942857142857142,0.937990905332782
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061005700,10012,NEW YORK,NY,0.0,0.00363636363636363,0.0,0.000362844702467343
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061005900,10012,NEW YORK,NY,0.0,0.0276497695852534,0.00552486187845303,0.00191309100847226
10012.0,10012.0,10012,10012.0,10012 Greenwich Village - SoHo (Manhattan),6.0,6.0,93.0,36061006500,10012,NEW YORK,NY,0.855384615384615,0.896713615023474,0.82803738317757,0.855958349402236
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061002100,10013,NEW YORK,NY,0.0362844702467343,0.0127605274351339,0.0582329317269076,0.0325258343215314
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061002900,10013,NEW YORK,NY,0.905132743362831,0.80688497061293,0.905617977528089,0.87895090786819
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061003100,10013,NEW YORK,NY,0.944121071012805,0.835697399527186,0.810185185185185,0.900719424460431
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061003300,10013,NEW YORK,NY,0.80177979410225,0.741687979539641,0.895705521472392,0.796965062933772
10013.0,10013.0,10013,10013.0,10013 Greenwich Village - SoHo (Manhattan),2.0,2.0,94.0,36061003700,10013,NEW YORK,NY,0.388560770904569,0.583946980854197,0.702072538860103,0.466438218101189
